鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號,
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year,month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
西屯區,房地(土地+建物),臺中市西屯區長安路二段335巷1~30號,80,住,,,1070301,土地1建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土造,821109,193.95,7,2,6,有,無,12000000,61872,,0,0,,RPPPMLRKMHNFFCB18CA,
西屯區,房地(土地+建物)+車位,臺中市西屯區西屯路二段256巷1~30號,16.99,住,,,1070301,土地3建物2車位1,十八層,二十二層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,820507,216.78,0,0,0,無,有,10800000,49822,坡道機械,0,0,,RPWPMLSKMHNFFCB98CA,
南屯區,房地(土地+建物)+車位,臺中市南屯區文心南路271~300號,26.96,住,,,1070301,土地1建物1車位2,十八層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031125,317.32,3,2,3,有,有,24300000,76579,坡道平面,51.94,0,,RPQNMLTKMHNFFCB28CA,
西屯區,房地(土地+建物)+車位,臺中市西屯區臺灣大道二段841~870號,17.01,商,,,1070201,土地1建物1車位2,九層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001228,250.46,4,2,2,有,有,20000000,79853,坡道平面,45.91,0,,RPSOMLTKMHNFFCB58CA,
西屯區,房地(土地+建物),臺中市西屯區朝貴路91~120號,109.24,住,,,1070301,土地3建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,951005,341.47,4,2,4,有,有,37800000,110698,,0,0,,RPOOMLNLMHNFFCB67CA,
西屯區,房地(土地+建物),臺中市西屯區福星路151~180號,7.61,住,,,1070301,土地1建物1車位0,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,960929,56.98,1,1,1,有,有,4850000,85118,,0,0,,RPTRMLNLMHNFFCB48CA,
西屯區,房地(土地+建物),臺中市西屯區福聯街15巷1~30號,3.58,住,,,1070301,土地1建物1車位0,四層,十三層,套房(1房1廳1衛),住家用,鋼筋混凝土造,830908,20.64,1,0,1,有,有,890000,43120,,0,0,,RPQNMLQLMHNFFCB08CA,
西屯區,房地(土地+建物)+車位,臺中市西屯區天水東街1~30號,22.11,住,,,1070301,土地1建物1車位1,三層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,820629,154.78,3,2,2,有,有,8000000,51686,坡道平面,0,0,含增建或未登記建物。,RPSQMLQLMHNFFCB58CA,
西屯區,房地(土地+建物),臺中市西屯區逢甲路301巷22弄1~30號,22.36,住,,,1070101,土地1建物1車位0,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,800209,118.88,3,2,2,有,有,5600000,47102,,0,0,,RPQNMLRLMHNFFCB18CA,
西屯區,房地(土地+建物)+車位,臺中市西屯區大墩十九街241~270號,5.49,住,,,1070301,土地1建物1車位8,二層,九層,套房(1房1廳1衛),住家用,鋼筋混凝土造,850701,107.64,1,1,1,有,無,5000000,46451,升降機械,0,0,,RPSNMLLJNHNFFCB67CA,
西屯區,房地(土地+建物)+車位,臺中市西屯區寶慶街1~30號,13.15,住,,,1061201,土地1建物1車位1,三層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041222,110.57,2,2,2,有,有,8800000,79588,坡道機械,22.17,0,,RPQOMLMJNHNFFCB67CA,
西屯區,房地(土地+建物),臺中市西屯區福科路421~450號,11.9,住,,,1070301,土地1建物1車位0,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,820817,116.3,3,2,2,有,有,7100000,61049,,0,0,,RPSOMLMJNHNFFCB87CA,
南屯區,土地,新富段421~450地號,375.22,住,,,1070301,土地3建物0車位0,,,其他,,,,0,0,0,0,有,無,52000000,138585,,0,0,,RPSNMLOJNHNFFCB97CA,
西屯區,房地(土地+建物),臺中市西屯區華夏巷西五弄31~60號,24.88,住,,,1070201,土地3建物1車位0,二層,五層,套房(1房1廳1衛),住家用,鋼筋混凝土造,680724,45.87,1,1,1,有,無,2340000,51014,,0,0,,RPROMLOJNHNFFCB97CA,
神岡區,土地,厚生段211~240地號,247.98,農,,,1070301,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,4575000,18449,,0,0,親屬間因債務抵償之交易。,RPSNMLMKMHNFFDB87CA,
豐原區,房地(土地+建物)+車位,臺中市豐原區社皮路185巷1~30號,16.19,住,,,1070301,土地2建物1車位1,九層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,830827,134.15,3,2,2,有,有,5150000,38390,坡道平面,0,0,,RPOOMLMKMHNFFDB57CA,
